tweet_id	retweet_count	favorite_count
892420643555336193	6996	33771
892177421306343426	5296	29294
891815181378084864	3476	22028
891689557279858688	7210	36864
891327558926688256	7750	35248
891087950875897856	2594	17773
890971913173991426	1658	10343
890729181411237888	15741	56757
890609185150312448	3615	24489
890240255349198849	6090	27911
890006608113172480	6145	26999
889880896479866881	4159	24536
889665388333682689	8339	41987
889638837579907072	3709	23626
889531135344209921	1878	13333
889278841981685760	4439	22065
888917238123831296	3758	25595
888804989199671297	3530	22435
888554962724278272	2876	17297
888078434458587136	2892	19123
887705289381826560	4531	26577
887517139158093824	9838	40654
887473957103951883	15005	60109
887343217045368832	8804	29537
887101392804085760	4984	26938
886983233522544640	6304	30341
886736880519319552	2625	10489
886680336477933568	3731	19706
886366144734445568	2627	18532
886267009285017600	4	105
886258384151887873	5281	24489
886054160059072513	93	0
885984800019947520	5606	28564
885528943205470208	5321	31559
885518971528720385	3104	17978
885311592912609280	15416	0
885167619883638784	3664	19222
884925521741709313	15005	67131
884876753390489601	4668	24349
884562892145688576	3906	21277
884441805382717440	4787	23842
884247878851493888	16899	63182
884162670584377345	2499	17918
883838122936631299	2858	19140
883482846933004288	8258	40149
883360690899218434	3074	19922
883117836046086144	5528	32484
882992080364220416	3242	20955
882762694511734784	4088	24756
882627270321602560	5059	24567
882268110199369728	9614	39158
882045870035918850	4078	25685
881906580714921986	2853	21419
881666595344535552	8946	44494
881633300179243008	8	113
881536004380872706	13382	43394
881268444196462592	4487	20458
880935762899988482	2330	15034
880872448815771648	3199	18691
880465832366813184	5208	24994
880221127280381952	3460	23632
880095782870896641	3650	24298
879862464715927552	2925	19678
879674319642796034	9	281
879492040517615616	2628	20676
879415818425184262	37366	92716
879376492567855104	2645	14829
879130579576475649	5734	0
879050749262655488	3951	19786
879008229531029506	2240	16757
878776093423087618	3429	17105
878604707211726852	5920	26405
878404777348136964	1073	0
878316110768087041	5519	0
878281511006478336	1073	6768
878057613040115712	5734	37099
877736472329191424	15787	69121
877611172832227328	70	0
877556246731214848	3166	19877
877316821321428993	4339	24106
877201837425926144	4622	23827
876838120628539392	2801	18197
876537666061221889	3967	21019
876484053909872640	1998	16547
876120275196170240	3895	24667
875747767867523072	3576	22083
875144289856114688	4148	19401
875097192612077568	5108	24221
875021211251597312	3967	22517
874680097055178752	3916	24564
874434818259525634	12195	0
874296783580663808	3481	22943
874057562936811520	3375	20091
874012996292530176	8582	30085
873580283840344065	3341	21352
873337748698140672	1330	0
873213775632977920	1330	6312
872967104147763200	4556	24032
872820683541237760	3164	13050
872620804844003328	3063	18300
872486979161796608	7711	36051
872122724285648897	6819	30190
871879754684805121	9239	33052
871762521631449091	2968	17865
871515927908634625	2937	17872
871166179821445120	4890	0
871102520638267392	4668	18520
871032628920680449	3219	20139
870804317367881728	5279	29775
870726314365509632	3	105
870656317836468226	2201	10886
870374049280663552	22729	73891
870308999962521604	3546	19462
870063196459192321	7065	32390
869772420881756160	8688	37955
869702957897576449	5382	25034
869596645499047938	2634	14179
869227993411051520	3196	18118
868880397819494401	12247	57878
868639477480148993	1750	0
868622495443632128	4463	23604
868552278524837888	1750	8959
867900495410671616	3567	21571
867774946302451713	6246	30223
867421006826221569	2112	14332
867072653475098625	101	0
867051520902168576	6775	28683
866720684873056260	4129	17863
866686824827068416	2965	17110
866450705531457537	30169	108764
866334964761202691	12195	46565
866094527597207552	7156	0
865718153858494464	4840	22904
865359393868664832	4282	23568
865006731092295680	6664	25018
864873206498414592	7492	28834
864279568663928832	2579	13057
864197398364647424	7581	26608
863907417377173506	3584	18416
863553081350529029	3629	13672
863471782782697472	2089	0
863432100342583297	4551	21290
863427515083354112	80	1960
863079547188785154	952	7880
863062471531167744	2089	7518
862831371563274240	4452	17200
862722525377298433	3089	15318
862457590147678208	4245	18249
862096992088072192	19981	66158
861383897657036800	9261	32262
861288531465048066	3587	15335
861005113778896900	3337	14981
860981674716409858	1855	0
860924035999428608	678	0
860563773140209665	1855	6712
860524505164394496	4603	21227
860276583193509888	3067	16567
860184849394610176	5120	15005
860177593139703809	26728	0
859924526012018688	3581	17610
859851578198683649	3067	13967
859607811541651456	1364	16817
859196978902773760	26256	80358
859074603037188101	11960	30407
858860390427611136	7079	0
858843525470990336	3027	14105
858471635011153920	4256	19474
858107933456039936	2539	14223
857989990357356544	2265	14486
857746408056729600	9339	30786
857393404942143489	1443	5308
857263160327368704	3975	18241
857214891891077121	16	204
857062103051644929	148	0
857029823797047296	3490	17030
856543823941562368	2547	14828
856526610513747968	1653	10830
856288084350160898	15	485
856282028240666624	5578	25198
855862651834028034	21	302
855860136149123072	853	4405
855857698524602368	1862	10848
855851453814013952	16126	41869
855818117272018944	4814	24274
855459453768019968	7302	27087
855245323840757760	5265	0
855138241867124737	36	0
854732716440526848	5348	20671
854482394044301312	6022	26563
854365224396361728	4150	17194
854120357044912130	6593	29202
854010172552949760	2789	14833
853760880890318849	5115	26080
853639147608842240	8879	31543
853299958564483072	3170	14164
852936405516943360	1789	0
